,Player_Id,Runs,Over_count,Econ_Rate,cluster,shortName
0,14,3135.0,421.5,7.44,2,P Kumar
1,15,2511.0,338.3333333333333,7.42,2,Z Khan
2,13,41.0,4.166666666666667,9.84,0,AA Noffke
3,9,2316.0,299.8333333333333,7.72,1,JH Kallis
4,16,82.0,9.166666666666666,8.95,0,SB Joshi
5,106,1961.0,254.0,7.72,1,AB Dinda
6,84,2092.0,266.5,7.85,1,I Sharma
7,82,1166.0,136.66666666666666,8.53,3,AB Agarkar
8,1,367.0,46.666666666666664,7.86,4,SC Ganguly
9,63,458.0,54.333333333333336,8.43,4,LR Shukla
10,66,1111.0,152.66666666666666,7.28,3,B Lee
11,77,1208.0,157.83333333333334,7.65,3,S Sreesanth
12,25,562.0,61.5,9.14,4,JR Hopes
13,29,2653.0,350.1666666666667,7.58,2,IK Pathan
14,24,94.0,11.166666666666666,8.42,0,K Goel
15,67,3123.0,412.0,7.58,2,PP Chawla
16,68,98.0,12.5,7.84,0,WA Mota
17,22,354.0,40.666666666666664,8.7,0,JDP Oram
18,120,1261.0,151.66666666666666,8.31,3,MS Gony
19,121,1743.0,263.5,6.61,1,M Muralitharan
20,119,421.0,45.333333333333336,9.29,4,Joginder Sharma
21,118,366.0,54.833333333333336,6.67,4,GD McGrath
22,90,532.0,73.5,7.24,4,MF Maharoof
23,89,1982.0,269.6666666666667,7.35,1,R Bhatia
24,175,886.0,130.83333333333334,6.77,3,DL Vettori
25,126,1652.0,223.16666666666666,7.4,1,MM Patel
26,32,2230.0,299.1666666666667,7.45,1,SR Watson
27,39,1909.0,259.5,7.36,1,SK Trivedi
28,38,1465.0,203.83333333333334,7.19,3,SK Warne
29,31,1371.0,190.33333333333334,7.2,3,YK Pathan
30,37,80.0,8.5,9.41,0,D Salunkhe
31,81,2917.0,356.8333333333333,8.17,2,R Vinay Kumar
32,12,246.0,32.166666666666664,7.65,0,B Akhil
33,73,2321.0,307.0,7.56,1,A Nehra
34,49,307.0,46.666666666666664,6.58,4,SM Pollock
35,80,1736.0,227.66666666666666,7.63,1,DS Kulkarni
36,44,396.0,50.166666666666664,7.89,4,ST Jayasuriya
37,50,3162.0,457.0,6.92,2,Harbhajan Singh
38,48,323.0,39.833333333333336,8.11,0,AM Nayar
39,83,1397.0,197.0,7.09,3,M Kartik
40,5,71.0,10.5,6.76,0,Mohammad Hafeez
41,4,480.0,53.833333333333336,8.92,4,DJ Hussey
42,60,364.0,48.0,7.58,4,WPUJC Vaas
43,61,2382.0,312.3333333333333,7.63,1,RP Singh
44,58,278.0,37.0,7.51,0,SB Styris
45,59,221.0,25.5,8.67,0,SB Bangar
46,56,694.0,90.0,7.71,4,A Symonds
47,131,2379.0,324.1666666666667,7.34,1,PP Ojha
48,75,470.0,51.833333333333336,9.07,4,Pankaj Singh
49,117,307.0,33.166666666666664,9.26,0,Mohammad Asif
50,91,504.0,59.833333333333336,8.42,4,VY Mahesh
51,70,237.0,30.833333333333332,7.69,0,Shahid Afridi
52,71,2778.0,351.6666666666667,7.9,2,DJ Bravo
53,72,52.0,5.0,10.4,0,MA Khote
54,78,549.0,61.833333333333336,8.88,4,VRV Singh
55,102,275.0,44.166666666666664,6.23,4,Sohail Tanvir
56,124,1089.0,163.83333333333334,6.65,3,A Kumble
57,98,100.0,11.5,8.7,0,DNT Zoysa
58,148,62.0,6.333333333333333,9.79,0,SD Chitnis
59,27,1044.0,142.83333333333334,7.31,3,Yuvraj Singh
60,86,87.0,9.666666666666666,9.0,0,Shoaib Malik
61,94,2350.0,359.8333333333333,6.53,2,DW Steyn
62,109,2378.0,301.0,7.9,1,JA Morkel
63,149,306.0,41.5,7.37,0,CRD Fernando
64,8,371.0,44.0,8.43,4,V Kohli
65,41,236.0,23.0,10.26,0,V Sehwag
66,437,142.0,14.0,10.14,0,Gagandeep Singh
67,54,338.0,37.0,9.14,0,Y Venugopal Rao
