,id,fullName,shortName,nationality,dateOfBirth,rightArmedBowl,rightHandedBat,bowlingStyle
0,1,MS Dhoni,MS Dhoni,Indian,1981-07-07,True,True,
1,2,Abhinav Mukund,A Mukund,Indian,1990-01-06,False,False,
2,3,Jade Dernbach,J Dernbach,English,1986-04-03,False,True,
3,4,Ganapathi Vignesh,G Vignesh,Indian,1985-09-11,False,False,
4,5,Joginder Sharma,J Sharma,Indian,1983-10-23,False,False,
5,6,Kuthethur Vasudevadas,K Vasudevadas,Indian,1985-01-26,False,False,
6,7,Murali Vijay,M Vijay,Indian,1984-04-01,False,False,
7,8,Ravichandran Ashwin,R Ashwin,Indian,1986-09-17,False,False,
8,9,Ravindra Jadeja,R Jadeja,Indian,1988-12-06,False,False,
9,10,Shadab Jakati,S Jakati,Indian,1980-11-27,False,False,
10,11,Srikkanth Anirudha,S Anirudha,Indian,1987-04-14,False,False,
11,12,Subramaniam Badrinath,S Badrinath,Indian,1980-08-30,False,False,
12,13,Sudeep Tyagi,S Tyagi,Indian,1987-09-19,False,False,
13,14,Suresh Raina,S Raina,Indian,1986-11-27,True,False,
14,15,Yo Mahesh,Y Mahesh,Indian,1987-12-21,False,False,
15,16,Wriddhiman Saha,W Saha,Indian,1984-10-24,True,True,
16,17,Ben Hilfenhaus,B Hilfenhaus,Australian,1983-03-15,True,True,
17,18,Doug Bollinger,D Bollinger,Australian,1981-07-24,False,False,
18,19,George Bailey,G Bailey,Australian,1982-09-07,False,False,
19,20,Michael Hussey,M Hussey,Australian,1975-05-27,False,False,
20,21,Suraj Randiv,S Randiv,Sri Lankan,1985-01-30,False,False,
21,22,Scott Styris,S Styris,New Zealander,1975-07-10,False,False,
22,23,Nuwan Kulasekara,N Kulasekara,Sri Lankan,1982-07-22,False,False,
23,24,Faf du Plessis,F du Plessis,South African,1984-07-13,True,True,LEG_SPIN
24,25,Dwayne Bravo,DJ Bravo,West Indian,1983-10-07,True,True,
25,26,Albie Morkel,A Morkel,South African,1981-06-10,False,False,
26,27,Kumar Sangakkara,K Sangakkara,Sri Lankan,1977-10-27,False,False,
27,28,Akash Bhandari,A Bhandari,Indian,1983-06-10,False,False,
28,29,Akshath Reddy,AP Reddy,Indian,1991-02-11,False,False,
29,30,Amit Mishra,A Mishra,Indian,1982-11-24,True,True,
30,31,Anand Rajan,A Rajan,Indian,1987-04-17,False,False,
31,32,Ankit Sharma,A Sharma,Indian,1991-04-20,False,False,
32,33,Arjun Yadav,A Yadav,Indian,1981-12-23,False,False,
33,34,Ashish Reddy,AA Reddy,Indian,1981-02-24,False,False,
34,35,Bharat Chipli,B Chipli,Indian,1983-01-27,False,False,
35,36,Dwaraka Ravi Teja,D Ravi Teja,Indian,1987-09-05,False,False,
36,37,Ishank Jaggi,I Jaggi,Indian,1989-01-27,True,True,
37,38,Ishant Sharma,I Sharma,Indian,1988-09-02,False,True,
38,39,Kedar Devdhar,K Devdhar,Indian,2012-02-24,False,True,
39,40,Manpreet Gony,M Gony,Indian,1984-01-01,True,True,
40,41,Shikhar Dhawan,S Dhawan,Indian,1985-12-05,False,False,
41,42,Sunny Sohal,S Sohal,Indian,1987-11-10,False,False,
42,43,Tanmay Srivastava,T Srivastav,Indian,1985-11-07,False,False,
43,44,Parthiv Patel,P Patel,Indian,1985-03-09,False,False,
44,45,Virender Sehwag,V Sehwag,Indian,1978-10-20,False,False,
45,46,Aavishkar Salvi,A Salvi,Indian,1981-10-21,False,False,
46,47,Ajit Agarkar,A Agarkar,Indian,1977-12-04,False,False,
47,48,Ashok Dinda,A Dinda,Indian,1984-03-25,True,True,
48,49,Irfan Pathan,I Pathan,Indian,1984-10-27,False,False,
49,50,Kuldeep Raval,K Raval,Indian,1985-11-30,False,False,
50,51,Manpreet Juneja,M Juneja,Indian,1990-09-12,False,False,
51,52,Naman Ojha,N Ojha,Indian,1983-07-20,True,True,
52,53,Pawan Negi,P Negi,Indian,1983-01-06,False,False,
53,54,Prashant Naik,P Naik,Indian,1986-09-02,False,False,
54,55,Puneet Bisht,P Bisht,Indian,1986-06-15,False,False,
55,56,Robin Bist,R Bist,Indian,1987-11-02,False,False,
56,57,Shahbaz Nadeem,S Nadeem,Indian,1989-08-12,False,True,
57,58,Tejashwi Yadav,T Yadav,Indian,1989-11-09,False,False,
58,59,Umesh Yadav,U Yadav,Indian,1987-10-25,True,True,FAST_SEAM
59,60,Unmukt Chand,U Chand,Indian,1993-03-26,False,False,
60,61,Varun Aaron,V Aaron,Indian,1989-10-29,True,True,
61,62,Venugopal Rao,V Rao,Indian,1982-02-26,False,False,
62,63,Vikas Mishra,V Mishra,Indian,1992-12-27,False,False,
63,64,Yogesh Nagar,Y Nagar,Indian,1990-01-06,False,False,
64,65,Adam Gilchrist,A Gilchrist,Australian,1971-11-14,False,False,
65,66,Abhishek Nayar,A Nayar,Indian,1983-10-08,False,False,
66,67,Amit Yadav,A Yadav,Indian,1989-10-10,False,False,
67,68,Bhargav Bhatt,B Bhatt,Indian,1990-05-13,False,False,
68,69,Bipul Sharma,B Sharma,Indian,1983-09-28,False,False,
69,70,Harmeet Singh Bansal,H Singh Bansal,Indian,1987-10-09,False,False,
70,71,Love Ablish,L Ablish,Indian,2012-02-24,False,True,
71,72,Mandeep Singh,M Singh,Indian,1991-12-18,True,True,
72,73,Nitin Saini,N Saini,Indian,1988-10-28,False,False,
73,74,Paras Dogra,P Dogra,Indian,1984-11-19,False,False,
74,75,Paul Valthaty,P Valthaty,Indian,1983-12-07,False,False,
75,76,Piyush Chawla,P Chawla,Indian,1988-12-24,False,False,
76,77,Praveen Kumar,P Kumar,Indian,1986-10-02,True,True,
77,78,Rajagopal Sathish,R Sathish,Indian,1981-01-14,False,False,
78,79,Shalabh Srivastava,S Srivastava,Indian,1981-09-02,False,False,
79,80,Siddharth Chitnis,S Chitnis,Indian,1987-05-06,False,False,
80,81,Sunny Singh,S Singh,Indian,1986-12-18,False,False,
81,82,Vikramjeet Malik,V Malik,Indian,1983-05-09,False,False,
82,83,Ramesh Powar,R Powar,Indian,1978-05-20,False,False,
83,84,Gautam Gambhir,G Gambhir,Indian,1981-10-14,False,False,
84,85,Iqbal Abdulla,I Abdulla,Indian,1989-12-02,False,False,
85,86,Jaydev Unadkat,J Unadkat,Indian,1991-10-18,False,True,
86,87,Lakshmipathy Balaji,L Balaji,Indian,1981-09-27,False,False,
87,88,Laxmi Ratan Shukla,L Ratan Shukla,Indian,1981-05-06,False,False,
88,89,Manoj Tiwary,M Tiwary,Indian,1985-11-14,True,True,
89,90,Manvinder Bisla,M Bisla,Indian,1984-12-27,False,False,
90,91,Pradeep Sangwan,P Sangwan,Indian,1990-11-05,False,True,
91,92,Rajat Bhatia,R Bhatia,Indian,1979-10-22,True,True,
92,93,Sarabjit Ladda,S Ladda,Indian,1986-07-10,False,False,
93,94,Mohammad Shami,M Shami,Indian,1990-03-09,True,True,
94,95,Shreevats Goswami,S Goswami,Indian,1989-05-18,False,False,
95,96,Yusuf Pathan,Y Pathan,Indian,1982-11-17,False,True,
96,97,Sachin Tendulkar,S Tendulkar,Indian,1973-04-24,True,True,
97,98,Abu Nechim,A Nechim,Indian,1988-11-05,False,True,
98,99,Aditya Tare,A Tare,Indian,1987-11-07,True,True,
99,100,Ambati Rayudu,A Rayudu,Indian,1985-09-23,True,True,
100,101,Dhawal Kulkarni,D Kulkarni,Indian,1988-12-10,True,True,
101,102,Dinesh Karthik,D Karthik,Indian,1985-06-01,True,True,
102,103,Harbhajan Singh,H Singh,Indian,1980-07-03,True,True,
103,104,Munaf Patel,M Patel,Indian,1983-07-12,True,True,
104,105,Pawan Suyal,P Suyal,Indian,1989-10-15,False,True,
105,106,Pragyan Ojha,P Ojha,Indian,1986-09-05,False,False,ORTHODOX
106,107,Rohit Sharma,R Sharma,Indian,1987-04-30,True,True,
107,108,Suryakumar Yadav,S Yadav,Indian,1990-09-14,True,True,
108,109,Sushant Marathe,S Marathe,Indian,2012-02-27,False,True,
109,110,Tirumalasetti Suman,T Suman,Indian,1983-12-15,False,True,
110,111,Yuzvendra Chahal,Y Chahal,Indian,1990-07-23,True,True,
111,112,RP Singh,RP Singh,Indian,1985-12-06,False,True,
112,113,Yuvraj Singh,Y Singh,Indian,1981-12-12,False,False,
113,114,Ali Murtaza,A Murtaza,Indian,1990-01-01,False,False,
114,115,Ashish Nehra,A Nehra,Indian,1979-04-29,False,True,
115,116,Bhuvneshwar Kumar,B Kumar,Indian,1990-12-05,True,True,
116,117,Dheeraj Jadhav,D Jadhav,Indian,1979-09-16,False,False,
117,118,Eklavya Dwivedi ,E Dwivedi ,Indian,1988-07-22,True,True,
118,119,Harpreet Singh,H Singh,Indian,1991-08-11,False,False,
119,120,Harshad Khadiwale,H Khadiwale,Indian,1988-10-21,False,False,
120,121,Imtiyaz Ahmed,I Ahmed,Indian,2012-02-27,False,True,
121,122,Kamran Khan,K Khan,Indian,1991-03-10,False,False,
122,123,Manish Pandey,M Pandey,Indian,1989-09-10,False,True,
123,124,Mithun Manhas,M Manhas,Indian,1979-10-12,False,False,
124,125,Murali Kartik,M Kartik,Indian,1976-09-11,False,False,
125,126,Rahul Sharma,R Sharma,Indian,1986-11-30,False,False,
126,127,Robin Uthappa,R Uthappa,Indian,1985-11-11,True,True,
127,128,Sachin Rana,S Rana,Indian,1984-09-18,False,False,
128,129,Shrikant Wagh,S Wagh,Indian,1988-10-09,False,False,
