,id,fullName,shortName,abbreviation,type,primaryColor,secondaryColor
0,1,Chennai Super Kings,Super Kings,CSK,m,FDB913,0081E5
1,2,Deccan Chargers,Deccan,DEC,m,65727A,FFFFFF
2,3,Delhi Capitals,Delhi,DC,m,004C93,F83430
3,4,Kings XI Punjab,Kings XI,KXIP,m,DA1F3D,FFFFFF
4,5,Kolkata Knight Riders,Knight Riders,KKR,m,6F2C91,FFFFFF
5,6,Mumbai Indians,Mumbai,MI,m,00AEEF,FFFFFF
6,7,Pune Warriors India,Warriors,PWI,m,00719E,FFFFFF
7,8,Rajasthan Royals,Royals,RR,m,004B8C,FFFFFF
8,9,Royal Challengers Bangalore,Challengers,RCB,m,000000,FF3245
9,10,Kochi Tuskers Kerala,Tuskers,KTK,,FF9F00,FFFFFF
10,11,England,England,ENG,m,04064D,FE1448
11,12,Ireland,Ireland,IRE,m,000066,81E13A
12,13,Sri Lanka,Sri Lanka,SL,m,1B2E96,FFC500
13,14,India,India,IND,m,0057AF,FF5500
14,15,Australia,Australia,AUS,m,0B661E,FFD500
15,16,New Zealand,New Zealand,NZ,m,1F1F1F,E8EBED
16,17,Afghanistan,Afghanistan,AFG,m,0954AF,FC0011
17,18,Zimbabwe,Zimbabwe,ZIM,m,CD151C,F8B526
18,19,South Africa,South Africa,SA,m,0B5425,F5AB00
19,20,Pakistan,Pakistan,PAK,m,206500,70E101
20,21,West Indies,West Indies,WI,m,7D1041,E2DA14
21,22,Bangladesh,Bangladesh,BAN,m,00644C,F91A22
22,23,Sri Lanka A,Sri Lanka A,SLA,m,02ABDC,737D1D
23,24,Sri Lanka Women,Sri Lanka ,SLw,w,02ABDC,737D1D
24,25,South Africa Women,South Africa ,SAw,w,0B5425,F5AB00
25,26,New Zealand Women,New Zealand,NZw,w,1F1F1F,E8EBED
26,27,West Indies Women,West Indies,WIw,w,7D1041,E2DA14
27,28,England Women,England,ENGw,w,04064D,FE1448
28,29,Pakistan Women,Pakistan ,PAKw,w,206500,70E101
29,30,Australia Women,Australia,AUSw,w,0B661E,FFD500
30,31,India Women,India ,INDw,w,0057AF,FF5500
31,32,Cape Cobras,Cobras,COB,m,495793,FFFFFF
32,33,New South Wales Blues,NSW Blues,NSW,m,A3C8DD,FFFFFF
33,34,Diamond Eagles,Eagles,DE,m,66FF00,FFFFFF
34,35,Victorian Bushrangers,Bushrangers,VB,m,FFD339,FFFFFF
35,36,Otago Volts,Volts,OT,m,6612D9,FFFFFF
36,37,Somerset,Somerset,SOM,m,922D46,FFFFFF
37,38,Sussex Sharks,Sharks,SS,m,588EB4,FFFFFF
38,39,Wayamba Elevens,Wayamba,WE,m,20A23E,FFFFFF
39,40,Trinidad & Tobago,T&T,T&T,m,D23A58,FFFFFF
40,41,Highveld Lions,Lions,HL,m,64FFFF,FFFFFF
41,42,Warriors,Warriors,WAR,m,9ECA40,FFFFFF
42,43,Central Districts Stags,Stags,CS,m,00FF00,FFFFFF
43,44,South Australian Redbacks,Redbacks,SAR,m,D43032,FFFFFF
44,45,Guyana,Guyana,GUY,m,64FF64,FFFFFF
45,46,Ruhunu Eleven,Ruhunu,RUE,m,E2343A,FFFFFF
46,47,Auckland Aces,Aces,AA,m,4E9FD3,FFFFFF
47,48,Leicestershire Foxes,Leicestershire,LEI,m,0057B1,FFFFFF
48,49,Hampshire,Hampshire,HAM,m,FFFFFF,FFFFFF
49,50,Perth Scorchers,Scorchers,PER,m,FF9400,FFFFFF
50,51,Sialkot Stallions,Stallions,SIA,m,FFFFFF,FFFFFF
51,52,Sydney Sixers,Sixers,SYD,m,97046E,FFFFFF
52,53,Titans,Titans,TTN,m,FFFFFF,FFFFFF
53,54,Uva Next,Uva,UVA,m,,
54,55,Yorkshire,Yorkshire,YOR,m,FFFFFF,FFFFFF
55,56,Adelaide Strikers,Strikers,AS,m,009EDB,FFFFFF
56,57,Brisbane Heat,Brisbane,BRI,m,03A1AC,FFFFFF
57,58,Hobart Hurricanes,Hurricanes,HOB,m,712CB9,FFFFFF
58,59,Melbourne Renegades,Renegades,MR,m,E50126,FFFFFF
59,60,Melbourne Stars,Stars,MS,m,39912B,FFFFFF
60,61,Sydney Thunder,Thunder,ST,m,FFFFFF,FFFFFF
61,62,Sunrisers Hyderabad,Sunrisers,SRH,m,FF9C00,FFFFFF
62,63,Mumbai Combined XI,Mumbai XI,MXI,w,FFFFFF,FFFFFF
63,64,Odisha XI,Odisha,OXI,w,FFFFFF,FFFFFF
64,65,Bermuda,Bermuda,BER,m,2E517B,FFFFFF
65,66,Canada,Canada,CAN,m,BF2025,FFFFFF
66,67,Kenya,Kenya,KEN,m,0A7875,FFFFFF
67,68,Netherlands,Netherlands,NED,m,061832,F03D03
68,69,Scotland,Scotland,SCO,m,1D2338,84A2E1
69,70,Argentina,Argentina,ARG,m,FFFFFF,FFFFFF
70,71,Austria,Austria,AUT,m,FF002B,FFFFFF
71,72,Bahamas,Bahamas,BAH,m,FFFFFF,FFFFFF
72,73,Belgium,Belgium,BEL,m,FFEF08,FFFFFF
73,74,Bhutan,Bhutan,BHU,m,FFFFFF,FFFFFF
74,75,Belize,Belize,BIZ,m,FFFFFF,FFFFFF
75,76,Botswana,Botswana,BOT,m,89CFF0,FFFFFF
76,77,Brazil,Brazil,BRA,m,FFE70D,FFFFFF
77,78,Bahrain,Bahrain,BRN,m,FFFFFF,FFFFFF
78,79,Brunei,Brunei,BRU,m,FFFFFF,FFFFFF
79,80,Bulgaria,Bulgaria,BUL,m,FFFFFF,FFFFFF
80,81,Cayman Islands,Cayman Islands,CAY,m,FFFFFF,FFFFFF
81,82,Chile,Chile,CHI,m,DE2910,FFDE00
82,83,China,China,CHN,m,DE2910,FFDE00
83,84,Cameroon,Cameroon,CMR,m,FFFFFF,FFFFFF
84,85,Cook Islands,Cook Islands,COK,m,FFFFFF,FFFFFF
85,86,Costa Rica,Costa Rica,CRC,m,FF642B,FFFFFF
86,87,Croatia,Croatia,CRO,m,FFFFFF,FFFFFF
87,88,Cuba,Cuba,CUB,m,FFFFFF,FFFFFF
88,89,Cyprus,Cyprus,CYP,m,FFFFFF,FFFFFF
89,90,Czech Republic,Czech Republic,CZE,m,FFFFFF,FFFFFF
90,91,Denmark,Denmark,DEN,m,FE0000,FFFFFF
91,92,Estonia,Estonia,EST,m,FFFFFF,FFFFFF
92,93,Fiji,Fiji,FIJ,m,00EDFF,FFFFFF
93,94,Finland,Finland,FIN,m,3F89BA,FFFFFF
94,95,Falkland Islands,Falkland Islands,FKI ,m,FFFFFF,FFFFFF
95,96,France,France,FRA,m,1E09AB,FFFFFF
96,97,Gambia,Gambia,GAM,m,FFFFFF,FFFFFF
97,98,Germany,Germany,GER,m,FFFFFF,FFFFFF
98,99,Ghana,Ghana,GHA,m,FFFFFF,FFFFFF
99,100,Gibraltar,Gibraltar,GIB,m,FFFFFF,FFFFFF
100,101,Greece,Greece,GRE,m,FFFFFF,FFFFFF
101,102,Guernsey,Guernsey,GSY,m,2BC44F,FFF024
102,103,Hong Kong,Hong Kong,HK,m,1A1617,FFFFFF
103,104,Hungary,Hungary,HUN,m,FFFFFF,FFFFFF
104,105,Indonesia,Indonesia,INA,m,FF174D,FFFFFF
105,106,Isle of Man,Isle of Man,IOM,m,FFFFFF,FFFFFF
106,107,Iran,Iran,IRI,m,FFFFFF,FFFFFF
107,108,Israel,Israel,ISR,m,FFFFFF,FFFFFF
108,109,Italy,Italy,ITA,m,006FB9,FFFFFF
109,110,Japan,Japan,JPN,m,0516FF,FF120A
110,111,Jersey,Jersey,JSY,m,FFFFFF,FFFFFF
111,112,Kuwait,Kuwait,KUW,m,007A3D,CE1126
112,113,Lesotho,Lesotho,LES,m,FFFFFF,FFFFFF
113,114,Luxembourg,Luxembourg,LUX,m,FFFFFF,FFFFFF
114,115,Malaysia,Malaysia,MAS,m,1E226E,FFFFFF
115,116,Malawi,Malawi,MAW,m,DE4545,FFFFFF
116,117,Maldives,Maldives,MDV,m,FFFFFF,FFFFFF
117,118,Mexico,Mexico,MEX,m,189909,FFFFFF
118,119,Mali,Mali,MLI,m,FFFFFF,FFFFFF
119,120,Malta,Malta,MLT,m,AB161B,FFFFFF
120,121,Morocco,Morocco,MOR,m,FFFFFF,FFFFFF
121,122,Mozambique,Mozambique,MOZ,m,FFFFFF,FFFFFF
122,123,Myanmar,Myanmar,MYA,m,FFFFFF,FFFFFF
123,124,Namibia,Namibia,NAM,m,174CC5,F81D00
124,125,Nepal,Nepal,NEP,m,53647F,FFFFFF
125,126,Nigeria,Nigeria,NGR,m,1B4D05,FFFFFF
126,127,Norway,Norway,NOR,m,FFFFFF,FFFFFF
127,128,Oman,Oman,OMA,m,B30121,06B89F
128,130,Panama,Panama,PAN,m,FFFFFF,FFFFFF
129,131,Peru,Peru,PER,m,FF0303,FFFFFF
130,132,Philippines,Philippines,PHI,m,3341FF,FFFFFF
131,133,Papua New Guinea,PNG,PNG,m,161926,E0BA00
132,134,Portugal,Portugal,POR,m,FFFFFF,FFFFFF
133,135,Qatar,Qatar,QAT,m,9C2D11,FFFFFF
134,136,Russia,Russia,RUS,m,FFFFFF,FFFFFF
135,137,Rwanda,Rwanda,RWA,m,006400,FFFFFF
136,138,Samoa,Samoa,SAM,m,0593FF,FF0A0A
137,139,Saudi Arabia,Saudi Arabia,SDA,m,FFFFFF,FFFFFF
138,140,Sweden,Sweden,SWE,m,FFFFFF,FFFFFF
139,141,Seychelles,Seychelles,SEY,m,FFFFFF,FFFFFF
140,142,Singapore,Singapore,SIN,m,FF3112,FFFFFF
141,143,South Korea,South Korea,SK,m,FF0808,FFFFFF
142,144,Sierra Leone,Sierra Leone,SLE,m,FFFFFF,FFFFFF
143,145,Slovenia,Slovenia,SLO,m,FFFFFF,FFFFFF
144,146,Spain,Spain,ESP,m,FF1C1C,FFFFFF
145,147,Saint Helena,Saint Helena,STH,m,FFFFFF,FFFFFF
146,148,Suriname,Suriname,SUR,m,FFFFFF,FFFFFF
147,149,Swaziland,Swaziland,SWZ,m,FFFFFF,FFFFFF
148,150,Tanzania,Tanzania,TAN,m,FFFFFF,FFFFFF
149,151,Turks and Caicos Islands,Turks and Caicos Islands,TCI,m,FFFFFF,FFFFFF
150,152,Tonga,Tonga,TGA,m,FFFFFF,FFFFFF
151,153,Thailand,Thailand,THA,m,0044AA,FF6DAA
152,154,Turkey,Turkey,TUR,m,FFFFFF,FFFFFF
153,155,United Arab Emirates,UAE,UAE,m,CE963F,FFFFFF
154,156,Uganda,Uganda,UGA,m,EADF35,FFFFFF
