,id,fullName,shortName,nationality,dateOfBirth,rightArmedBowl,rightHandedBat,bowlingStyle
0,1,MS Dhoni,MS Dhoni,India,1981-07-07,True,True,
2,3,Jade Dernbach,J Dernbach,England,1986-04-03,False,True,
6,7,Murali Vijay,M Vijay,India,1984-04-01,False,False,
7,8,Ravichandran Ashwin,R Ashwin,India,1986-09-17,False,False,
8,9,Ravindra Jadeja,R Jadeja,India,1988-12-06,False,False,
11,12,Subramaniam Badrinath,S Badrinath,India,1980-08-30,False,False,
13,14,Suresh Raina,S Raina,India,1986-11-27,True,False,
15,16,Wriddhiman Saha,W Saha,India,1984-10-24,True,True,
18,19,George Bailey,G Bailey,Australia,1982-09-07,False,False,
19,20,Michael Hussey,M Hussey,Australia,1975-05-27,False,False,
21,22,Scott Styris,S Styris,New Zealand,1975-07-10,False,False,
22,23,Nuwan Kulasekara,N Kulasekara,Sri Lanka,1982-07-22,False,False,
23,24,Faf du Plessis,F du Plessis,South Africa,1984-07-13,True,True,LEG_SPIN
24,25,Dwayne Bravo,DJ Bravo,West India,1983-10-07,True,True,
25,26,Albie Morkel,A Morkel,South Africa,1981-06-10,False,False,
26,27,Kumar Sangakkara,K Sangakkara,Sri Lanka,1977-10-27,False,False,
29,30,Amit Mishra,A Mishra,India,1982-11-24,True,True,
33,34,Ashish Reddy,AA Reddy,India,1981-02-24,False,False,
35,36,Dwaraka Ravi Teja,D Ravi Teja,India,1987-09-05,False,False,
37,38,Ishant Sharma,I Sharma,India,1988-09-02,False,True,
40,41,Shikhar Dhawan,S Dhawan,India,1985-12-05,False,False,
43,44,Parthiv Patel,P Patel,India,1985-03-09,False,False,
44,45,Virender Sehwag,V Sehwag,India,1978-10-20,False,False,
46,47,Ajit Agarkar,A Agarkar,India,1977-12-04,False,False,
47,48,Ashok Dinda,A Dinda,India,1984-03-25,True,True,
48,49,Irfan Pathan,I Pathan,India,1984-10-27,False,False,
51,52,Naman Ojha,N Ojha,India,1983-07-20,True,True,
52,53,Pawan Negi,P Negi,India,1983-01-06,False,False,
56,57,Shahbaz Nadeem,S Nadeem,India,1989-08-12,False,True,
58,59,Umesh Yadav,U Yadav,India,1987-10-25,True,True,FAST_SEAM
59,60,Unmukt Chand,U Chand,India,1993-03-26,False,False,
60,61,Varun Aaron,V Aaron,India,1989-10-29,True,True,
61,62,Venugopal Rao,V Rao,India,1982-02-26,False,False,
63,64,Yogesh Nagar,Y Nagar,India,1990-01-06,False,False,
64,65,Adam Gilchrist,A Gilchrist,Australia,1971-11-14,False,False,
65,66,Abhishek Nayar,A Nayar,India,1983-10-08,False,False,
71,72,Mandeep Singh,M Singh,India,1991-12-18,True,True,
75,76,Piyush Chawla,P Chawla,India,1988-12-24,False,False,
76,77,Praveen Kumar,P Kumar,India,1986-10-02,True,True,
77,78,Rajagopal Sathish,R Sathish,India,1981-01-14,False,False,
83,84,Gautam Gambhir,G Gambhir,India,1981-10-14,False,False,
85,86,Jaydev Unadkat,J Unadkat,India,1991-10-18,False,True,
87,88,Laxmi Ratan Shukla,L Ratan Shukla,India,1981-05-06,False,False,
88,89,Manoj Tiwary,M Tiwary,India,1985-11-14,True,True,
89,90,Manvinder Bisla,M Bisla,India,1984-12-27,False,False,
91,92,Rajat Bhatia,R Bhatia,India,1979-10-22,True,True,
93,94,Mohammad Shami,M Shami,India,1990-03-09,True,True,
94,95,Shreevats Goswami,S Goswami,India,1989-05-18,False,False,
95,96,Yusuf Pathan,Y Pathan,India,1982-11-17,False,True,
96,97,Sachin Tendulkar,S Tendulkar,India,1973-04-24,True,True,
98,99,Aditya Tare,A Tare,India,1987-11-07,True,True,
99,100,Ambati Rayudu,A Rayudu,India,1985-09-23,True,True,
100,101,Dhawal Kulkarni,D Kulkarni,India,1988-12-10,True,True,
101,102,Dinesh Karthik,D Karthik,India,1985-06-01,True,True,
102,103,Harbhajan Singh,H Singh,India,1980-07-03,True,True,
105,106,Pragyan Ojha,P Ojha,India,1986-09-05,False,False,ORTHODOX
106,107,Rohit Sharma,R Sharma,India,1987-04-30,True,True,
107,108,Suryakumar Yadav,S Yadav,India,1990-09-14,True,True,
109,110,Tirumalasetti Suman,T Suman,India,1983-12-15,False,True,
111,112,RP Singh,RP Singh,India,1985-12-06,False,True,
112,113,Yuvraj Singh,Y Singh,India,1981-12-12,False,False,
114,115,Ashish Nehra,A Nehra,India,1979-04-29,False,True,
115,116,Bhuvneshwar Kumar,B Kumar,India,1990-12-05,True,True,
122,123,Manish Pandey,M Pandey,India,1989-09-10,False,True,
123,124,Mithun Manhas,M Manhas,India,1979-10-12,False,False,
126,127,Robin Uthappa,R Uthappa,India,1985-11-11,True,True,
129,130,Sourav Ganguly,S Ganguly,India,1972-07-08,False,False,
130,131,Rahul Dravid,R Dravid,India,1973-01-11,True,True,
134,135,Ajinkya Rahane,A Rahane,India,1988-06-06,True,True,
138,139,Ashok Menaria,A Menaria,India,1990-10-29,False,False,
147,148,Stuart Binny,S Binny,India,1984-06-03,True,True,
155,156,Cheteshwar Pujara,C Pujara,India,1988-01-25,False,False,
156,157,Harshal Patel,H Patel,India,1990-11-23,True,True,
157,158,Mayank Agarwal,M Agarwal,India,1991-02-18,True,True,
158,159,Mohammad Kaif,M Kaif,India,1980-12-01,False,False,
162,163,Saurabh Tiwary,S Tiwary,India,1989-12-30,True,False,
163,164,Virat Kohli,V Kohli,India,1988-11-05,True,True,
164,165,Zaheer Khan,Z Khan,India,1978-10-07,False,True,
165,166,Vinay Kumar,V Kumar,India,1984-02-12,True,True,
166,167,Aaron Finch,A Finch,Australia,1986-11-17,False,True,
167,168,Colin Ingram,C Ingram,South Africa,1985-07-03,False,True,
168,169,Morne Morkel,M Morkel,South Africa,1984-10-06,False,False,
169,170,David Warner,D Warner,Australia,1986-10-27,False,False,
170,171,James Hopes,J Hopes,Australia,2012-02-27,False,True,
171,172,Kevin Pietersen,K Pietersen,England,1980-06-27,False,False,
172,173,Roelof van der Merwe,R van der Merwe,Netherlands,1984-12-31,False,False,
173,174,Travis Birt,T Birt,Australia,1981-12-09,False,False,
174,175,Mahela Jayawardene,M Jayawardene,Sri Lanka,1977-05-27,False,False,
175,176,Doug Bracewell,D Bracewell,New Zealand,1990-09-28,False,False,
176,177,Andre Russell,A Russell,West India,1988-04-29,True,True,
177,178,Cameron White,C White,Australia,1983-08-18,False,False,
178,179,Chris Lynn,C Lynn,Australia,1990-04-10,False,True,
179,180,Dale Steyn,D Steyn,South Africa,1983-06-27,False,False,
180,181,Dan Christian,D Christian,Australia,1983-05-04,True,True,
181,182,JP Duminy,JP Duminy,South Africa,1984-04-14,False,False,
183,184,Darren Bravo,DM Bravo,West India,1989-02-06,False,False,
185,186,David Hussey,D Hussey,Australia,1977-07-15,False,False,
186,187,David Miller,D Miller,South Africa,1989-06-10,False,False,
188,189,Nathan Rimmington,N Rimmington,Australia,1982-11-11,False,False,
189,190,Ryan Harris,R Harris,Australia,1979-10-11,False,False,
190,191,Shaun Marsh,S Marsh,Australia,1983-07-09,False,False,
191,192,Stuart Broad,S Broad,England,1986-06-24,True,False,FAST_SEAM
192,193,James Faulkner,J Faulkner,Australia,1990-04-29,False,True,
193,194,Azhar Mahmood,A Mahmood,England,1975-02-28,False,False,
194,195,Brad Haddin,B Haddin,Australia,1977-10-23,False,True,
195,196,Brett Lee,B Lee,Australia,1976-11-08,False,False,
196,197,Eoin Morgan,E Morgan,England,1986-09-10,False,False,
197,198,Jacques Kallis,J Kallis,South Africa,1975-10-16,False,False,
198,199,James Pattinson,J Pattinson,Australia,1990-05-03,False,False,
199,200,Ryan ten Doeschate,R ten Doeschate,Netherlands,1980-06-30,False,False,
200,201,Shakib Al Hasan,S Al Hasan,Bangladesh,1987-03-24,False,False,
201,202,Brendon McCullum,B McCullum,New Zealand,1981-09-27,True,True,
202,203,Sunil Narine,S Narine,West India,1988-05-26,False,False,
203,204,Marchant de Lange,M de Lange,South Africa,1990-10-13,False,False,
204,205,Aiden Blizzard,A Blizzard,Australia,1984-06-27,False,False,
205,206,Andrew Symonds,A Symonds,Australia,1975-06-09,False,True,
206,207,Clint McKay,C McKay,Australia,1983-02-22,False,True,
208,209,James Franklin,J Franklin,New Zealand,1980-11-07,False,True,
209,210,Kieron Pollard,K Pollard,West India,1987-05-12,True,True,
210,211,Lasith Malinga,L Malinga,Sri Lanka,1983-08-28,True,True,
211,212,Herschelle Gibbs,H Gibbs,South Africa,1974-02-23,False,True,
212,213,Mitchell Johnson,M Johnson,Australia,1981-11-02,False,False,
213,214,Robin Peterson,R Peterson,South Africa,1979-08-04,False,True,
214,215,Thisara Perera,NTLC Perera,Sri Lanka,1989-04-03,False,True,
215,216,Alfonso Thomas,A Thomas,South Africa,1977-02-09,False,False,
216,217,Angelo Mathews,A Mathews,Sri Lanka,1987-06-02,True,True,
217,218,Callum Ferguson,C Ferguson,Australia,1984-11-21,False,False,
218,219,Graeme Smith,G Smith,South Africa,1981-02-01,False,False,
219,220,Jesse Ryder,J Ryder,New Zealand,1984-08-06,False,False,
220,221,Mitchell Marsh,M Marsh,Australia,1991-10-20,False,True,
221,222,Nathan McCullum,N McCullum,New Zealand,1980-09-01,False,True,
222,223,Wayne Parnell,W Parnell,South Africa,1989-07-30,False,False,
223,224,Johan Botha,J Botha,South Africa,1982-05-02,False,False,
224,225,Paul Collingwood,P Collingwood,England,1976-05-26,False,False,
225,226,Ross Taylor,R Taylor,New Zealand,1984-03-08,False,False,
226,227,Shane Watson,S Watson,Australia,1981-06-17,True,True,
228,229,Brad Hodge,B Hodge,Australia,1974-12-29,False,False,
229,230,Dinesh Chandimal,D Chandimal,Sri Lanka,1989-11-18,False,False,
232,233,AB de Villiers,AB de Villiers,South Africa,1984-02-17,True,True,
