,id,fullName,shortName,nationality,dateOfBirth,rightArmedBowl,rightHandedBat,bowlingStyle
0,1,MS Dhoni,MS Dhoni,India,1981-07-07,True,True,
2,3,Jade Dernbach,J Dernbach,England,1986-04-03,False,True,
4,5,Joginder Sharma,J Sharma,India,1983-10-23,False,False,
6,7,Murali Vijay,M Vijay,India,1984-04-01,False,False,
7,8,Ravichandran Ashwin,R Ashwin,India,1986-09-17,False,False,
8,9,Ravindra Jadeja,R Jadeja,India,1988-12-06,False,False,
9,10,Shadab Jakati,S Jakati,India,1980-11-27,False,False,
11,12,Subramaniam Badrinath,S Badrinath,India,1980-08-30,False,False,
12,13,Sudeep Tyagi,S Tyagi,India,1987-09-19,False,False,
13,14,Suresh Raina,S Raina,India,1986-11-27,True,False,
14,15,Yo Mahesh,Y Mahesh,India,1987-12-21,False,False,
15,16,Wriddhiman Saha,W Saha,India,1984-10-24,True,True,
16,17,Ben Hilfenhaus,B Hilfenhaus,Australia,1983-03-15,True,True,
17,18,Doug Bollinger,D Bollinger,Australia,1981-07-24,False,False,
18,19,George Bailey,G Bailey,Australia,1982-09-07,False,False,
19,20,Michael Hussey,M Hussey,Australia,1975-05-27,False,False,
20,21,Suraj Randiv,S Randiv,Sri Lanka,1985-01-30,False,False,
21,22,Scott Styris,S Styris,New Zealand,1975-07-10,False,False,
22,23,Nuwan Kulasekara,N Kulasekara,Sri Lanka,1982-07-22,False,False,
23,24,Faf du Plessis,F du Plessis,South Africa,1984-07-13,True,True,LEG_SPIN
24,25,Dwayne Bravo,DJ Bravo,West India,1983-10-07,True,True,
25,26,Albie Morkel,A Morkel,South Africa,1981-06-10,False,False,
26,27,Kumar Sangakkara,K Sangakkara,Sri Lanka,1977-10-27,False,False,
28,29,Akshath Reddy,AP Reddy,India,1991-02-11,False,False,
29,30,Amit Mishra,A Mishra,India,1982-11-24,True,True,
30,31,Anand Rajan,A Rajan,India,1987-04-17,False,False,
31,32,Ankit Sharma,A Sharma,India,1991-04-20,False,False,
33,34,Ashish Reddy,AA Reddy,India,1981-02-24,False,False,
35,36,Dwaraka Ravi Teja,D Ravi Teja,India,1987-09-05,False,False,
37,38,Ishant Sharma,I Sharma,India,1988-09-02,False,True,
39,40,Manpreet Gony,M Gony,India,1984-01-01,True,True,
40,41,Shikhar Dhawan,S Dhawan,India,1985-12-05,False,False,
43,44,Parthiv Patel,P Patel,India,1985-03-09,False,False,
44,45,Virender Sehwag,V Sehwag,India,1978-10-20,False,False,
45,46,Aavishkar Salvi,A Salvi,India,1981-10-21,False,False,
46,47,Ajit Agarkar,A Agarkar,India,1977-12-04,False,False,
47,48,Ashok Dinda,A Dinda,India,1984-03-25,True,True,
48,49,Irfan Pathan,I Pathan,India,1984-10-27,False,False,
51,52,Naman Ojha,N Ojha,India,1983-07-20,True,True,
52,53,Pawan Negi,P Negi,India,1983-01-06,False,False,
56,57,Shahbaz Nadeem,S Nadeem,India,1989-08-12,False,True,
58,59,Umesh Yadav,U Yadav,India,1987-10-25,True,True,FAST_SEAM
59,60,Unmukt Chand,U Chand,India,1993-03-26,False,False,
60,61,Varun Aaron,V Aaron,India,1989-10-29,True,True,
61,62,Venugopal Rao,V Rao,India,1982-02-26,False,False,
62,63,Vikas Mishra,V Mishra,India,1992-12-27,False,False,
63,64,Yogesh Nagar,Y Nagar,India,1990-01-06,False,False,
64,65,Adam Gilchrist,A Gilchrist,Australia,1971-11-14,False,False,
65,66,Abhishek Nayar,A Nayar,India,1983-10-08,False,False,
67,68,Bhargav Bhatt,B Bhatt,India,1990-05-13,False,False,
68,69,Bipul Sharma,B Sharma,India,1983-09-28,False,False,
69,70,Harmeet Singh Bansal,H Singh Bansal,India,1987-10-09,False,False,
70,71,Love Ablish,L Ablish,India,2012-02-24,False,True,
71,72,Mandeep Singh,M Singh,India,1991-12-18,True,True,
74,75,Paul Valthaty,P Valthaty,India,1983-12-07,False,False,
75,76,Piyush Chawla,P Chawla,India,1988-12-24,False,False,
76,77,Praveen Kumar,P Kumar,India,1986-10-02,True,True,
77,78,Rajagopal Sathish,R Sathish,India,1981-01-14,False,False,
78,79,Shalabh Srivastava,S Srivastava,India,1981-09-02,False,False,
79,80,Siddharth Chitnis,S Chitnis,India,1987-05-06,False,False,
81,82,Vikramjeet Malik,V Malik,India,1983-05-09,False,False,
82,83,Ramesh Powar,R Powar,India,1978-05-20,False,False,
83,84,Gautam Gambhir,G Gambhir,India,1981-10-14,False,False,
84,85,Iqbal Abdulla,I Abdulla,India,1989-12-02,False,False,
85,86,Jaydev Unadkat,J Unadkat,India,1991-10-18,False,True,
86,87,Lakshmipathy Balaji,L Balaji,India,1981-09-27,False,False,
87,88,Laxmi Ratan Shukla,L Ratan Shukla,India,1981-05-06,False,False,
88,89,Manoj Tiwary,M Tiwary,India,1985-11-14,True,True,
89,90,Manvinder Bisla,M Bisla,India,1984-12-27,False,False,
90,91,Pradeep Sangwan,P Sangwan,India,1990-11-05,False,True,
91,92,Rajat Bhatia,R Bhatia,India,1979-10-22,True,True,
92,93,Sarabjit Ladda,S Ladda,India,1986-07-10,False,False,
93,94,Mohammad Shami,M Shami,India,1990-03-09,True,True,
94,95,Shreevats Goswami,S Goswami,India,1989-05-18,False,False,
95,96,Yusuf Pathan,Y Pathan,India,1982-11-17,False,True,
96,97,Sachin Tendulkar,S Tendulkar,India,1973-04-24,True,True,
97,98,Abu Nechim,A Nechim,India,1988-11-05,False,True,
98,99,Aditya Tare,A Tare,India,1987-11-07,True,True,
99,100,Ambati Rayudu,A Rayudu,India,1985-09-23,True,True,
100,101,Dhawal Kulkarni,D Kulkarni,India,1988-12-10,True,True,
101,102,Dinesh Karthik,D Karthik,India,1985-06-01,True,True,
102,103,Harbhajan Singh,H Singh,India,1980-07-03,True,True,
103,104,Munaf Patel,M Patel,India,1983-07-12,True,True,
104,105,Pawan Suyal,P Suyal,India,1989-10-15,False,True,
105,106,Pragyan Ojha,P Ojha,India,1986-09-05,False,False,ORTHODOX
106,107,Rohit Sharma,R Sharma,India,1987-04-30,True,True,
107,108,Suryakumar Yadav,S Yadav,India,1990-09-14,True,True,
109,110,Tirumalasetti Suman,T Suman,India,1983-12-15,False,True,
110,111,Yuzvendra Chahal,Y Chahal,India,1990-07-23,True,True,
111,112,RP Singh,RP Singh,India,1985-12-06,False,True,
112,113,Yuvraj Singh,Y Singh,India,1981-12-12,False,False,
113,114,Ali Murtaza,A Murtaza,India,1990-01-01,False,False,
114,115,Ashish Nehra,A Nehra,India,1979-04-29,False,True,
115,116,Bhuvneshwar Kumar,B Kumar,India,1990-12-05,True,True,
121,122,Kamran Khan,K Khan,India,1991-03-10,False,False,
122,123,Manish Pandey,M Pandey,India,1989-09-10,False,True,
123,124,Mithun Manhas,M Manhas,India,1979-10-12,False,False,
124,125,Murali Kartik,M Kartik,India,1976-09-11,False,False,
125,126,Rahul Sharma,R Sharma,India,1986-11-30,False,False,
126,127,Robin Uthappa,R Uthappa,India,1985-11-11,True,True,
128,129,Shrikant Wagh,S Wagh,India,1988-10-09,False,False,
129,130,Sourav Ganguly,S Ganguly,India,1972-07-08,False,False,
130,131,Rahul Dravid,R Dravid,India,1973-01-11,True,True,
133,134,Aditya Dole,A Dole,India,1987-10-09,False,False,
134,135,Ajinkya Rahane,A Rahane,India,1988-06-06,True,True,
136,137,Amit Singh,A Singh,India,1981-06-21,False,False,
137,138,Ankeet Chavan,A Chavan,India,1985-10-28,False,False,
138,139,Ashok Menaria,A Menaria,India,1990-10-29,False,False,
139,140,Deepak Chahar,D Chahar,India,1992-08-07,True,True,
141,142,Faiz Fazal,F Fazal,India,1985-09-07,False,False,
142,143,Nayan Doshi,N Doshi,India,2012-02-27,False,True,
143,144,Pankaj Singh,P Singh,India,1985-05-06,False,False,
145,146,Samad Fallah,S Fallah,India,1985-05-02,False,False,
146,147,Siddharth Trivedi,S Trivedi,India,1982-09-04,False,False,
147,148,Stuart Binny,S Binny,India,1984-06-03,True,True,
148,149,Sumit Narwal,S Narwal,India,1982-04-16,False,False,
149,150,Shanthakumaran Sreesanth,S Sreesanth,India,1983-02-06,False,False,
150,151,Abhimanyu Mithun,A Mithun,India,1989-10-25,True,True,
151,152,Abrar Kazi,A Anjum Kazi,India,2012-02-27,False,False,
155,156,Cheteshwar Pujara,C Pujara,India,1988-01-25,False,False,
156,157,Harshal Patel,H Patel,India,1990-11-23,True,True,
157,158,Mayank Agarwal,M Agarwal,India,1991-02-18,True,True,
158,159,Mohammad Kaif,M Kaif,India,1980-12-01,False,False,
159,160,Raju Bhatkal,R Bhatkal,India,1985-09-01,False,False,
160,161,Ryan Ninan,R Ninan,India,1985-11-19,False,False,
161,162,Sreenath Arvind,S Arvind,India,1984-04-08,False,False,
162,163,Saurabh Tiwary,S Tiwary,India,1989-12-30,True,False,
163,164,Virat Kohli,V Kohli,India,1988-11-05,True,True,
164,165,Zaheer Khan,Z Khan,India,1978-10-07,False,True,
165,166,Vinay Kumar,V Kumar,India,1984-02-12,True,True,
166,167,Aaron Finch,A Finch,Australia,1986-11-17,False,True,
167,168,Colin Ingram,C Ingram,South Africa,1985-07-03,False,True,
168,169,Morne Morkel,M Morkel,South Africa,1984-10-06,False,False,
169,170,David Warner,D Warner,Australia,1986-10-27,False,False,
170,171,James Hopes,J Hopes,Australia,2012-02-27,False,True,
171,172,Kevin Pietersen,K Pietersen,England,1980-06-27,False,False,
172,173,Roelof van der Merwe,R van der Merwe,Dutch,1984-12-31,False,False,
173,174,Travis Birt,T Birt,Australia,1981-12-09,False,False,
174,175,Mahela Jayawardene,M Jayawardene,Sri Lanka,1977-05-27,False,False,
175,176,Doug Bracewell,D Bracewell,New Zealand,1990-09-28,False,False,
176,177,Andre Russell,A Russell,West India,1988-04-29,True,True,
