,id,fullName,shortName,city,country,longitude,latitude
0,1,M. A. Chidambaram Stadium,Chidambaram,Chennai,India,,
1,2,Eden Gardens,Eden Gardens,Kolkata,India,,
2,3,Sawai Mansingh Stadium,Sawai Mansingh Stadium,Jaipur,India,,
3,4,Wankhede Stadium,Wankhede Stadium,Mumbai,India,,
4,5,M. Chinnaswamy Stadium,M. Chinnaswamy Stadium,Bengaluru,India,,
5,6,ACA-VDCA Stadium,ACA-VDCA Stadium,Visakhapatnam,India,,
6,7,Maharashtra Cricket Association's International Stadium,Maharashtra Cricket Association's International Stadium,Pune,India,,
7,8,Feroz Shah Kotla Ground,Feroz Shah Kotla Ground,Delhi,India,,
8,9,IS Bindra Stadium,IS Bindra Stadium,Mohali,India,,
9,10,Rajiv Gandhi Intl. Cricket Stadium,Rajiv Gandhi Intl. Cricket Stadium,Hyderabad,India,,
10,11,HPCA Stadium,HPCA Stadium,Dharamsala,India,,
11,13,TBC,TBC,TBC,TBC,,
12,14,Barabati Stadium,Barabati Stadium,Cuttack,India,,
13,15,Jawaharlal Nehru Stadium,Jawaharlal Nehru Stadium,Kochi,India,,
14,16,DY Patil Stadium,DY Patil Stadium,Navi Mumbai,India,,
15,17,Holkar Cricket Stadium,Holkar Cricket Stadium,Indore,India,,
16,18,Brabourne Stadium,Brabourne Stadium,Mumbai,India,,
17,19,Sardar Patel Stadium,Sardar Patel Stadium,Ahmedabad,India,,
18,20,Vidarbha Cricket Association Stadium,Vidarbha Cricket Association Stadium,Nagpur,India,,
19,21,Newlands,Newlands,Cape Town,South Africa,,
20,22,St George's Park,St George's Park,Port Elizabeth,South Africa,,
21,23,Kingsmead,Kingsmead,Durban,South Africa,,
22,24,Supersport Park,Supersport Park,Centurion,South Africa,,
23,25,Buffalo Park,Buffalo Park,East London,South Africa,,
24,26,New Wanderers Stadium,New Wanderers Stadium,Johannesburg,South Africa,,
25,27,De Beers Diamond Oval,De Beers Diamond Oval,Kimberley,South Africa,,
26,28,OUTsurance Oval,OUTsurance Oval,Bloemfontein,South Africa,,
27,29,Moors Sports Club,Moors Sports Club,Colombo,Sri Lanka,,
